新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,三重県
36,13,16,9,10,29,23,53,22
36,14,16,10,13,26,24,60,23
34,14,16,9,11,25,27,58,26
35,13,17,9,11,25,23,56,23
40,16,21,10,11,31,31,62,27
43,17,20,12,13,33,32,70,27
43,18,22,12,14,36,33,68,30
46,19,23,12,13,43,29,69,29
53,21,27,13,14,47,38,73,34
53,23,26,16,16,43,42,80,36
49,19,24,13,16,40,42,79,39
49,21,23,12,16,42,33,77,35
54,22,26,13,17,40,34,78,37
52,21,24,14,18,35,35,82,37
50,20,23,13,16,27,33,75,37
50,20,23,14,16,29,31,74,34
56,22,26,15,16,35,38,76,36
56,23,24,17,17,33,41,84,38
53,22,23,15,18,31,44,85,43
55,23,24,15,18,43,46,83,40
59,23,27,16,18,49,45,80,40
58,23,24,17,21,45,44,86,40
56,22,24,16,19,40,49,83,42
56,23,24,14,19,44,49,79,38
61,24,28,16,19,48,51,79,40
59,25,25,17,23,46,49,83,39
55,22,24,15,18,41,42,78,41
54,22,22,15,17,39,36,75,36
58,23,25,15,16,38,39,71,35
53,22,22,14,18,37,35,72,32
48,20,20,13,16,37,38,69,35
48,19,20,12,16,36,34,63,29
52,20,23,12,16,37,32,63,30
48,20,20,14,17,39,30,68,30
45,18,19,11,16,37,33,66,33
45,18,19,11,15,39,31,62,28
48,18,21,11,14,39,33,61,29
46,18,18,13,16,37,30,61,26
45,16,20,12,15,35,29,56,27
44,18,19,10,13,35,25,53,23
50,20,23,12,13,36,26,54,24
47,18,19,13,14,33,24,56,23
43,18,19,12,13,31,25,53,26
43,18,18,10,14,31,25,54,23
48,19,21,12,14,36,31,56,25
45,18,19,13,17,36,32,59,25
44,17,19,11,16,34,36,62,30
47,19,20,11,16,35,36,66,30
56,22,27,14,17,42,45,75,35
58,24,26,16,20,49,48,88,42
56,22,28,15,20,50,49,89,45
55,22,26,14,20,52,41,85,41
57,24,29,14,20,52,43,82,39
56,23,27,16,20,48,42,83,39
53,21,27,13,19,40,40,78,39
51,22,25,13,19,45,36,74,35
54,21,27,14,17,47,41,74,34
50,20,24,13,18,45,42,76,34
47,19,23,13,17,40,39,70,35
45,17,21,12,16,41,37,69,31
49,19,24,13,16,43,39,68,30
46,18,22,12,15,41,39,71,32
43,16,21,12,14,37,36,65,32
41,15,18,9,14,37,33,64,28
44,18,21,11,14,39,36,64,28
44,17,20,11,14,42,35,67,29
41,15,21,11,15,38,33,63,30
39,16,17,10,14,38,29,61,26
42,16,19,10,13,36,29,55,22
40,17,18,9,14,34,30,58,23
38,14,18,11,12,30,28,54,24
36,15,16,9,13,31,24,51,20
37,14,16,8,14,35,25,50,19
36,15,14,9,14,33,27,55,22
33,13,14,8,11,28,28,54,24
34,13,13,8,11,30,25,52,21
37,14,15,9,11,32,27,51,19
35,14,13,8,12,31,26,51,20
32,13,13,10,10,23,24,49,21
31,12,11,6,10,26,23,48,18
33,12,13,7,10,26,24,47,17
33,15,12,9,10,24,25,50,19
30,11,12,8,10,20,24,48,20
27,11,9,6,9,21,19,43,15
27,11,10,6,9,21,19,39,12
26,10,8,6,9,20,18,40,13
22,9,8,7,7,17,18,39,15
23,10,8,5,10,21,14,36,11
24,10,9,5,8,23,15,35,10
25,10,11,6,11,26,18,40,11
