éOèdåß,é†âÍåß,ãûìsï{,ëÂç„ï{,ï∫å…åß,ìﬁó«åß,òaâÃéRåß,íπéÊåß,â™éRåß
22,14,61,211,104,24,13,5,32
23,17,57,225,110,18,12,7,25
26,17,55,234,103,21,11,7,26
23,21,55,223,108,27,12,7,28
27,20,66,259,120,24,15,8,35
27,25,63,264,133,27,16,9,35
30,25,65,285,134,27,16,9,37
29,26,65,240,137,32,15,9,35
34,24,75,267,154,32,21,12,44
36,29,72,302,170,31,21,11,42
39,28,69,318,163,32,20,10,40
35,30,66,269,158,35,19,8,38
37,29,75,303,169,34,22,11,44
37,32,72,301,167,32,24,13,43
37,29,68,314,158,32,21,11,42
34,31,71,309,161,37,18,11,39
36,32,83,303,172,35,25,12,46
38,31,78,348,179,35,24,13,45
43,29,79,325,175,35,26,12,46
40,27,79,324,176,38,22,13,45
40,26,90,322,188,39,27,12,49
40,32,87,343,193,37,23,13,48
42,29,89,389,188,33,25,12,46
38,31,82,349,183,41,23,13,43
40,29,87,376,191,39,29,13,49
39,30,82,363,190,35,25,14,48
41,29,78,323,167,33,24,12,43
36,32,70,304,159,35,19,11,39
35,29,74,298,163,35,22,13,46
32,29,64,293,159,30,21,13,44
35,26,60,309,145,30,19,12,43
29,32,52,243,134,30,18,12,40
30,29,67,265,144,31,19,15,40
30,30,58,264,141,27,22,13,38
33,29,57,273,130,27,18,11,37
28,27,55,266,129,31,18,13,36
29,21,65,254,135,30,21,14,39
26,19,60,256,134,27,21,12,35
27,20,57,266,124,25,19,12,31
23,22,52,240,114,29,16,11,32
24,21,58,231,119,26,18,13,35
23,20,52,223,115,25,17,11,33
26,16,50,250,105,22,14,12,35
23,18,50,232,106,28,15,12,34
25,20,59,212,113,25,18,13,38
25,25,56,232,119,23,17,13,37
30,24,56,246,113,25,17,12,38
30,21,53,239,114,28,15,13,37
35,24,67,236,133,30,19,16,45
42,32,70,274,148,29,19,15,46
45,36,77,337,146,32,22,15,45
41,27,77,306,145,35,20,13,44
39,26,82,273,151,32,23,12,47
39,28,75,297,150,32,20,14,45
39,37,74,335,140,31,22,13,42
35,35,68,309,132,33,19,12,36
34,31,74,237,132,31,21,13,39
34,30,64,264,129,26,17,11,36
35,24,56,194,115,29,17,11,37
31,25,58,204,120,32,18,11,32
30,28,70,228,132,30,19,12,38
32,28,64,235,134,27,17,13,36
32,33,61,243,122,27,17,10,37
28,31,57,248,119,29,16,9,34
28,26,62,236,121,28,18,11,40
29,19,50,227,115,22,12,11,39
30,20,49,194,106,24,16,11,37
26,22,45,189,104,26,14,7,29
22,23,53,214,110,22,15,8,34
23,21,49,209,112,23,13,10,33
24,23,47,188,106,23,13,9,33
20,19,41,191,99,23,13,7,26
19,17,50,193,102,21,12,9,32
22,12,45,181,106,18,12,7,29
24,19,46,203,106,23,14,7,30
21,18,39,163,96,23,11,7,27
19,16,46,174,97,20,12,10,29
20,18,45,200,102,20,8,7,27
21,20,43,184,95,21,12,7,26
18,18,34,157,81,20,9,4,21
17,16,44,152,81,17,9,6,25
19,14,39,149,82,16,8,5,24
20,17,35,161,75,19,9,6,22
15,14,32,141,68,16,8,4,19
12,13,39,138,72,15,9,5,23
13,17,36,129,71,15,9,6,22
15,19,35,155,73,18,9,6,22
11,14,32,167,70,17,8,7,22
10,14,41,137,70,12,10,7,26
11,18,35,143,74,14,7,7,23
