ê¬êXåß,ä‚éËåß,ã{èÈåß,èHìcåß,éRå`åß,ïüìáåß,àÔèÈåß,ì»ñÿåß,åQînåß
36,19,39,24,18,31,44,27,33
29,20,37,19,15,30,47,30,33
23,17,37,18,11,29,42,29,30
27,17,38,19,11,27,42,25,29
39,22,42,26,18,33,46,29,30
38,25,51,22,17,39,53,34,33
32,23,53,18,18,41,53,36,34
34,23,57,21,14,39,54,34,36
45,27,66,26,21,44,59,39,38
40,31,67,25,20,47,63,43,41
37,27,64,23,17,46,61,43,40
36,24,60,23,16,41,62,40,42
46,29,64,30,25,46,65,43,43
39,30,61,24,22,45,67,45,42
37,28,62,25,19,47,63,44,41
38,26,62,26,20,44,63,41,43
48,31,67,34,27,50,66,44,44
42,35,69,30,26,53,69,47,44
42,34,72,30,24,56,68,48,45
41,33,73,34,24,54,70,46,49
53,39,78,40,30,61,73,49,49
50,44,81,35,30,65,77,52,50
44,38,76,32,27,62,72,51,48
45,36,75,31,25,58,72,47,50
55,40,80,37,32,62,77,52,53
49,41,79,30,28,62,80,54,53
44,37,80,26,27,61,72,51,48
42,31,68,27,22,52,66,43,45
53,36,74,31,29,57,66,44,43
48,39,74,28,27,59,70,47,44
41,34,68,26,25,55,66,47,42
39,30,59,25,20,48,62,40,41
50,33,62,31,27,51,63,42,40
44,36,62,26,25,53,65,43,39
40,32,60,26,22,52,60,43,37
40,30,58,30,21,48,58,37,37
49,32,60,34,24,49,60,39,37
42,34,60,27,21,50,63,42,37
40,31,60,25,19,49,57,40,33
37,28,59,27,16,44,53,34,33
46,29,59,30,19,45,54,35,31
40,31,58,24,18,45,56,37,31
37,28,55,21,18,45,53,38,30
38,27,59,24,18,44,53,34,32
47,31,62,31,25,48,58,37,35
42,30,56,22,20,45,63,43,37
37,28,58,24,21,45,61,43,36
41,28,61,27,21,47,61,40,39
52,37,76,33,29,55,69,45,44
49,42,77,29,30,58,78,53,50
45,40,78,28,30,58,77,54,50
45,36,73,27,27,55,75,50,52
50,36,72,32,30,55,76,50,51
46,38,69,26,28,54,78,53,51
41,34,69,26,26,51,73,52,47
41,33,68,28,25,51,71,47,48
48,36,69,31,30,52,71,46,47
45,38,69,28,28,54,71,48,44
38,33,67,25,24,48,65,46,41
37,27,62,23,20,44,64,42,41
42,29,65,28,24,44,62,40,39
38,29,57,23,23,43,62,41,35
30,24,52,19,20,37,57,40,34
34,22,51,20,18,36,55,36,34
35,22,51,24,20,36,57,37,35
34,25,50,21,21,38,63,42,37
31,23,50,20,20,36,59,42,37
31,19,47,20,17,34,56,36,36
32,20,47,23,19,33,53,34,33
29,21,45,18,18,33,54,36,30
26,19,44,17,17,30,49,35,30
26,17,42,16,14,30,48,30,30
31,20,47,21,18,32,51,33,32
30,21,46,19,18,33,53,35,29
25,18,43,17,15,29,46,33,28
27,17,42,17,14,29,46,29,29
30,19,44,19,16,29,47,29,29
26,19,41,17,16,29,48,31,27
22,15,36,14,13,25,38,27,24
22,12,34,13,10,23,39,24,25
25,15,37,18,12,24,38,23,24
23,16,37,15,12,25,39,25,21
19,13,34,13,11,22,36,26,22
20,10,31,12,9,21,35,21,23
22,13,34,16,11,22,32,19,21
19,14,33,12,10,22,35,23,19
18,12,32,11,9,20,31,22,20
18,11,31,12,7,20,34,20,23
20,14,36,18,10,22,35,21,24
17,13,30,13,9,20,42,28,26
